QID,Pure_RLS_Optimization_ms,View_Optimization_ms,Rewrite_Optimization_ms,Optimization_View_over_Pure,Optimization_Rewrite_over_Pure
Q1,6.1,6.88,8.56,1.1278688524590164,1.4032786885245903
Q2,4.73,21.38,3.78,4.520084566596194,0.7991543340380548
Q3,3.9,6.84,6.41,1.7538461538461538,1.6435897435897437
Q4,3.64,4.71,5.05,1.2939560439560438,1.3873626373626373
Q5,5.84,9.4,17.89,1.6095890410958904,3.0633561643835616
Q6,2.97,4.04,3.76,1.3602693602693603,1.2659932659932658
Q7,4.22,9.71,16.12,2.3009478672985786,3.8199052132701428
Q8,6.48,,15.83,,2.442901234567901
Q9,11.18,5.1,14.47,0.4561717352415027,1.2942754919499107
Q10,2.33,6.11,9.81,2.6223175965665235,4.210300429184549
Q11,2.66,9.62,10.2,3.6165413533834583,3.834586466165413
Q12,3.54,5.04,3.4,1.423728813559322,0.9604519774011299
Q13,0.87,2.3,1.76,2.64367816091954,2.0229885057471266
Q14,1.27,1.9,4.96,1.4960629921259843,3.9055118110236218
Q15,3.87,2.99,6.61,0.7726098191214471,1.7080103359173127
Q16,2.73,4.72,3.15,1.7289377289377288,1.1538461538461537
Q17,6.04,7.59,6.71,1.2566225165562914,1.1109271523178808
Q18,4.57,8.61,5.06,1.884026258205689,1.1072210065645514
Q19,1.89,3.61,8.47,1.91005291005291,4.481481481481482
Q20,3.21,9.52,3.6,2.965732087227414,1.1214953271028039
Q21,7.44,9.22,,1.239247311827957,
Q22,0.99,3.02,0.75,3.0505050505050506,0.7575757575757576
